Term	Instance	Annotation
attivista	La giovane attivista svedese, nata nel 2003, sta scuotendo la sensibilità ambientale dei teenager di tutto il mondo con strenua determinazione e discorsi infuocati dinnanzi ai politici.	pos
attivista	22 aprile 2020In occasione della 50esima Giornata della Terra, il 22 aprile, la giovane attivista svedese Greta Thunberg e il direttore dell'Istituto di ricerca sull'impatto climatico di Potsdam in Germania Johan Rockström "si sono incontrati in videoconferenza" per una conversazione digitale sui temi del coraggio, della solidarietà e delle opportunità in tempi di crisi.	neu
attivista	L'attivista svedese accolta dai dimostranti.	pos
attivista	Da Leonardo di Caprio a Joaquin Phoenix, da Malala a Billie Eilish sino a Roger Waters e Ludovico Einaudi appoggiano la nuova iniziativa dell'attivista svedese.	pos
attivista	La giovane attivista si è rivolta ai leader politici durante la Conferenza dell'Onu in corso a Madrid:	neu
attivista	La sensazione dell’attivista svedese è che per la politica “non ci sia urgenza nel mettere in campo interventi per affrontare il riscaldamento globale.	neu
attivista	L'attivista svedese lo annuncia in un video su Instagram:	neu
attivista	recentemente, anche Nicola Zingaretti ha dedicato la propria vittoria alle primarie del PD a “Greta Thunberg, la ragazza attivista svedese che lotta per la salvezza del pianeta”.	pos
attivista	L'attivista svedese interviene in conferenza stampa da Madrid, dove è in corso Cop 25 (Conferenza mondiale Onu sui cambiamenti climatici), che si chiuderà il 13 dicembre.	neu
attivista	È lei il segno distintivo del vertice internazionale, con il seguito massiccio di giovani che hanno risposto all’attivista svedese che venerdì, durante lo sciopero, ha ammonito sul fatto che non dopo un anno di battaglie in piazza non sia stata ancora riconosciuta la crisi climatica.	neu
attivista	A prendere la parola anche un attivista russo, che ha ricordato come nel proprio paese sono state arrestate delle persone per aver partecipato alle proteste sul clima.	neg
attivista	“Chiediamo di essere ascoltati, perché nessuno più di noi sperimenta sulla propria pelle i danni dai cambiamenti climatici”, ha ricordato ad esempio un’attivista dall’Uganda.	neu
attivista	A dimostrazione che quella dell'attivista svedese è un'agenda politica a tutti gli effetti.	neu
attivista	Ora il millenarismo apocalittico di Greta sposa le idee estremiste e radicali del pensiero liberal-progressista aggiungendo, al vocabolario climaticamente corretto, quello dell'attivista da centro sociale che inveisce, senza aver studiato la storia, contro le società patriarcali, il colonialismo, il razzismo.	neg
attivista	Due anni dopo il primo sciopero per il clima, l'attivista svedese incontra Angela Merkel per chiedere la fine di tutti gli investimenti sui combustibili fossili.	neu
