Term	Instance	Annotation
politici	La giovane attivista svedese, nata nel 2003, sta scuotendo la sensibilità ambientale dei teenager di tutto il mondo con strenua determinazione e discorsi infuocati dinnanzi ai politici.	neg
politici	Tiepidi gli applausi dei politici, paralizzati sui loro scranni.	neg
politici	L'assemblea, presieduta dal Presidente Jean-Claude Juncker si sente dire che se le cose non cambieranno drasticamente “quel che lasceranno in eredità i nostri leader politici sarà il più grande fallimento della storia, e loro saranno ricordati come i peggiori farabutti (villain) di tutti i tempi perché si sono rifiutati di ascoltare e di agire”.	neg
politici	Questo è il messaggio mandato da Greta dicendoci che quello che fa “Lo sto facendo perché voi adulti consideriate il mio futuro” e aggiungendo “Voglio che i politici diano priorità alla questione climatica, concentrandosi sul clima e trattandolo come una crisi.	neu
politici	I fatti non contano più, i politici non ascoltano gli scienziati, quindi perché dovrei imparare?”.	neg
politici	Vittime preferite dei suoi attacchi politici, le donne, da lui insolentite nei modi più diversi e volgari.	neg
politici	La giovane attivista si è rivolta ai leader politici durante la Conferenza dell'Onu in corso a Madrid:	neu
politici	Senza pressioni i politici non fanno molto”.	neg
politici	Greta Thunberg si è rivolta agli esponenti politici questa mattina durante la Conferenza dell’Onu sui cambiamenti climatici Cop25 in corso a Madrid:	neu
politici	All’Onu non è la prima volta che Greta si rivolge ai politici.	neu
politici	Si rivolge ai politici di tutte le nazionalità perché prendano sul serio il problema del riscaldamento globale e, grazie alla sua tenacia, ha commosso il mondo e mobilitato ragazzi in molti altri paesi (dalla sua iniziativa sono nati i FridaysForFuture).	neu
politici	il suo obiettivo era semplice: in previsione delle elezioni voleva convincere i rappresentanti politici del suo Paese a ridurre le emissioni di carbonio secondo quanto stipulato nell’Accordo di Parigi nel 2015.	neu
politici	Il messaggio di tutti ai politici è stato la richiesta di avere più visibilità.	neu
politici	I nostri leader politici non possono più sottrarsi alle loro responsabilità.	neg
politici	Eppure, affermano Greta, Luisa e Angela, "i politici e le aziende produttrici di combustibili fossili conoscono il cambiamento climatico da decenni.	neg
