Term	Instance	Annotation
klimaat	Documentaire In ‘I Am Greta’, over klimaatactivist Greta Thunberg, zien we een koppig meisje met scherp brein en laser-achtige focus, maar soms hulpeloos.	neu
klimaat	Dat is in Zweden ongewoon, dus was er veel aandacht voor het klimaat.	pos
klimaat	Dat trok weer de aandacht van de Verenigde Naties, die haar uitnodigde om in december 2018 op de klimaattop te Katowice iets te zeggen ‘namens de jeugd’.	neu
klimaat	Na een slopende zeilreis, een stunt om te tonen dat klimaatneutraal reizen nu onmogelijk is, vloog Grossman terug naar Zweden.	neg
klimaat	Het verhaal is bekend: als achtjarige raakte Greta in 2011 geobsedeerd door de klimaatcrisis, werd gedeprimeerd en kreeg een eetstoornis.	neg
klimaat	Ze kreeg als diagnose asperger, een compulsief-obsessieve aandoening, selectief mutisme, maar zou haar levenslust hebben hervonden toen het gezin klimaatneutraal ging leven:	neu
klimaat	Klimaatontkenners kregen geen grip op haar:	neg
klimaat	haar klimaatneutrale levensstijl vindt hij een luxe die Afrika zich niet kan en wil veroorloven.	neu
klimaat	Het coronavirus schoof in maart het klimaat en Greta Thunberg uit het nieuws.	neu
klimaat	Net als in de klimaatcrisis draait het om al dan niet luisteren naar de wetenschap, om pogingen om van de wetenschappelijke consensus een politiek standpunt te maken.	neg
klimaat	Bij het klimaat ervaren we de dreiging nog niet als acuut genoeg.”	neg
klimaat	Bovendien: „Als de pandemie gaat liggen, staat het klimaat gewoon om de hoek te wachten.”	neg
klimaat	Weinig jonge mensen roepen zulke sterke reacties op als klimaatactivist Greta Thunberg.	neu
klimaat	De scène komt uit I am Greta, een documentaire over het jonge klimaaticoon die in Nederland op 20 oktober in première gaat.	neu
klimaat	Want Greta Thunberg is al van klimaattop naar klimaattop gereisd.	neu
