Title	Publisher	Text	Cluster
Artico, metano sotto il permafrost: il riscaldamento accelera il rilascio del gas	La Repubblica	"Nella Siberia orientale alti livelli del potente gas serra rilasciati a causa dello scioglimento dei ghiacci. I ricercatori: ""Il processo è già attivo"". E Greta Thunberg posta la notizia su Twitter Nearly four weeks onboard: the expedition is a success with huge amounts of diverse data and samples banked. Two of the... ""Scientists have found evidence that frozen methane deposits in the Arctic Ocean – known as the “sleeping giants of the carbon cycle” – have started to be released over a large area of the continental slope off the East Siberian coast.""https://t.co/MLLY8PtQ4x ""Scientists have found evidence that frozen methane deposits in the Arctic Ocean – known as the “sleeping giants of the carbon cycle” – have started to be released over a large area of the continental slope off the East Siberian coast.""https://t.co/MLLY8PtQ4x Il tuo contributo è fondamentale per avere un’informazione di qualità. Sostieni il giornalismo di Repubblica."	2
Greta Thunberg, la ragazza che fa scioperare il mondo contro il riscaldamento globale	Sky Tg24	"La giovane attivista svedese, nata nel 2003, sta scuotendo la sensibilità ambientale dei teenager di tutto il mondo con strenua determinazione e discorsi infuocati dinnanzi ai politici. Chi è e cosa sta facendo per salvare il pianeta Greta, come tutti i suoi coetanei svedesi, viene informata dai problemi causati all'ambiente dall'inquinamento e dalle emissioni di CO2 a scuola. Lezioni e filmati di approfondimento che lasciano su di lei una traccia molto più profonda che sui suoi compagni. Allora si informa, studia, si tiene aggiornata, insomma si preoccupa dell'argomento. E rimane profondamente delusa dall'ignavia dei governi di tutto il mondo. Gli accordi internazionali sul clima non vengono rispettati, ogni nuovo dato ufficiale condiviso dal Gruppo intergovernativo sul cambiamento climatico dell’Onu (Ipcc) dipinge una situazione sempre più drammatica. I fenomeni del disastro imminente sono visibili a quasi tutte le latitudini. Eppure i governanti non sembrano assillati dalla sciagura, i giornali non parlano abbastanza dell'argomento. La reazione della Thunberg è tanto decisa quanto semplice nei suoi contenuti. Non ha la pretesa di avere escogitato la soluzione al riscaldamento globale. Anzi, a suo parere la soluzione c'è già ed è quella indicata dall'Ipcc e dalla comunità scientifica e ratificata come impegno ufficiale nei tanti accordi sul clima, ultimo quello di Parigi del 2015: ridurre l'inquinamento e soprattutto le emissioni di anidride carbonica in atmosfera. Addio ai combustibili fossili, addio alle pratiche ecologicamente non sostenibili. La sua presa di posizione parte da una base scientifica ma è politica, è una reazione contro la mancanza di reazione a una situazione tanto drammatica da parte di chi riveste il ruolo di decisore politico. Persino la sua Svezia, tra i Paesi con le migliori politiche ambientali, non ha fatto abbastanza; anzi, le emissioni sono aumentate anziché diminuire e se non ce la fa la Svezia come possono farcela i Paesi in via di sviluppo? I primi interlocutori di Greta sono i genitori. Entrambi appartengono al mondo dell'arte della Stoccolma benestante: la madre è una cantante lirica, il padre fa l'attore. Dopo aver tentato di lenire la frustrazione della figlia con risposte rassicuranti, sono costretti a fare i conti con l'ostinata determinazione di Greta che li convince ad adottare comportamenti più responsabili; e così l'auto a combustibile fossile viene sostituita da un'auto elettrica, la dieta vegana diventa la dieta di famiglia e i Thunberg si impegnano a non utilizzare più mezzi di trasporto altamente inquinanti come gli aerei. Il che rende impossibile alla madre la carriera internazionale, ma la coerenza ha un prezzo. Migliorare le abitudini di una famiglia non è abbastanza. Greta cerca nuovi interlocutori, aderisce a un'associazione ambientalista studentesca e rimane colpita dallo sciopero contro le leggi sulla detenzione di armi organizzato dagli studenti di Parkland, negli Stati Uniti, all'indomani della strage nella scuola della città della Florida. La sua associazione non riesce però a organizzarsi come gli studenti americani, così Greta passa all'azione solitaria. La causa scatenante per l'attività che l'ha resa celebre è stata una serie di incendi catastrofici avvenuti nelle foreste svedesi nell'estate 2018, ennesimo sintomo delle conseguenze disastrose del riscaldamento globale. L'allora quindicenne decide che è più utile protestare contro il governo anziché andare a scuola. Dall'inizio dell'anno scolastico – che in Svezia parte a metà agosto – fino alle elezioni generali svedesi del 9 settembre ogni mattina si alza presto, inforca la bici e si reca davanti al Parlamento, dove rimane fino all'orario in cui a scuola terminano le lezioni. Con sé porta una tavola di legno con scritto Skolstrejk för klimatet, 'sciopero scolastico per il clima' in svedese, e qualche materiale informativo stampato in casa. Il primo giorno la sua protesta rimane del tutto isolata, dal secondo però qualche passante inizia a incuriosirsi e a parlare con Greta; col passare del tempo i curiosi aumentano e qualcuno diventa solidale, fermandosi a farle compagnia. All'indomani delle elezioni Greta riprende a frequentare la scuola e limita la sua protesta al venerdì. Nascono così i FridaysForFuture, i venerdì per il futuro. Dopo la stampa locale, anche quella internazionale si accorge della protesta e la fama di Greta lievita durante l'autunno. Iniziano a sbocciare gruppi FridaysForFuture in molte città e a dicembre la Thunberg viene invitata a parlare alla Conferenza sul Clima COP24. I rappresentanti degli Stati che stavano in quei giorni di dicembre discutendo a Katowice sulla definizione delle regole attuative degli accordi di Parigi probabilmente pensavano di passare qualche minuto meno noioso del solito quando Greta ha preso la parola. Si sbagliavano, era invece il momento delle accuse senza appello. “Dobbiamo parlare chiaramente, non importa se è scomodo – sferza l'uditorio con tono – Voi avete paura di diventare impopolari, volete andare avanti con le stesse idee che ci hanno messo in questo casino […] Non siete abbastanza maturi per dire le cose come stanno”. E se l'introduzione non fu lusinghiera, la chiosa fu decisamente una dichiarazione di esautorazione. “Non siamo venuti per chiedere ai leader di occuparsene. Ci avete ignorato in passato e continuerete a farlo. Voi non avete più scuse, noi non abbiamo più tempo. Siamo qui per farvi sapere che il cambiamento sta arrivando, vi piaccia o meno. Il vero potere appartiene al popolo.” Tiepidi gli applausi dei politici, paralizzati sui loro scranni. Conquistatasi l'attenzione dell'opinione pubblica globale, la Thunberg viene invitata a gennaio a parlare presso un altro consesso prestigioso, il World Economic Forum di Davos. Mantenendo invariato il messaggio generale, le accuse vengono declinate in base al pubblico dell'occasione. Un pubblico arrivato quasi interamente con jet personali (millecinquecento i voli in totale per lo svolgimento della conferenza) che ascolta una ragazza giunta in Svizzera dopo trentadue ore di treno, per non contribuire ulteriormente alle emissioni di CO2. “Alcune persone, alcune aziende, alcuni decisori sapevano bene di stare sacrificando valori inestimabili per continuare ad accumulare incredibili quantità di denaro. Penso che molti di voi appartengano a quelle persone.” Non va meglio ai commissari europei del Comitato economico e sociale che invitano Greta a fine febbraio. L'assemblea, presieduta dal Presidente Jean-Claude Juncker si sente dire che se le cose non cambieranno drasticamente “quel che lasceranno in eredità i nostri leader politici sarà il più grande fallimento della storia, e loro saranno ricordati come i peggiori farabutti (villain) di tutti i tempi perché si sono rifiutati di ascoltare e di agire”. Juncker china il capo infastidito a fine discorso, mentre fuori dall'edificio gli studenti di Bruxelles scendono in strada a manifestare per i FridayForFuture. Alla vigilia delle elezioni europee, Greta è di nuovo a Bruxelles, questa volta davanti ai membri del Parlamento europeo. Nel suo intervento chiama al voto pro ambiente i giovani che possono votare, chiedendo loro di farsi portavoce anche di quelli che ancora non possono votare, come la Thunberg e i suoi compagni di scuola e di protesta. Il giorno seguente arriva a Roma, ascolta l’udienza generale di Papa Francesco in Piazza San Pietro, stringe la mano al pontefice e scambia qualche parola con lui, lodandolo per l’enciclica Laudato si’, dedicata alla difesa del pianeta e ottenendo il sostegno di Bergoglio.. Il tour di Greta nei luoghi più importanti del dibattito ‘ufficiale’ sul riscaldamento globale prevede due tappe oltreoceano. Il problema è raggiungere l’America - dove è attesa al summit per il clima delle Nazioni Unite il 23 settembre e a Santiago del Cile per la Conferenza mondiale sul clima COP 25 - senza inquinare. La soluzione, grazie all’aiuto di Pierre Casiraghi di Monaco che ha fornito imbarcazione ed equipaggio, è la traversata oceanica a bordo di una barca a vela a emissioni zero, avvenuta in agosto. Prima di partecipare al Global Climate Strike indetto tra il 20 e il 27 settembre e di intervenire al Summit della Gioventù per il clima, è stata invitata al Congresso Usa dove si è resa protagonista di un intervento assai laconico: otto frasi in tutto, rimandando ai veri contenuti della sua testimonianza, e cioè l’ultimo - drammatico - aggiornamento del report dell’International Panel on Climate Change. Mentre al summit dell'Onu sul clima, dopo l'arrivo imprevisto del presidente Usa Donald Trump, pronuncia un discorso infuocato rivolto ai grandi della Terra, scandito dalle parole ""How dare you?"" (come osate). Alla Thunberg nel 2016 è stata diagnosticata la sindrome di Asperger e ha sofferto di mutismo selettivo e disturbi ossessivo compulsivi. Lei stessa non ha difficoltà a parlare dell'argomento e anzi considera la sua particolare condizione un elemento che l'ha aiutata a focalizzarsi sul grande problema che affligge il pianeta. Le diagnosi “significano che parlo solo quando lo ritengo necessario”. In un'intervista rilasciata al New Yorker ha dimostrato consapevolezza del potenziale politico della sua condizione: “vedo il mondo in modo leggermente diverso, secondo un'altra prospettiva. Ho un interesse speciale. È comune che persone nello spettro autistico abbiano interessi speciali”. In un intervento alle conferenze TED di Stoccolma ha precisato ancora meglio che quando si tratta della crisi ambientale sono le persone non autistiche a sembrare molto strane, dato che parlano del problema come se fosse urgente ma poi continuano a comportarsi come prima. La capacità di non distrarsi in questo caso aiuta. Il cambiamento di cui si sta facendo promotrice la sedicenne svedese non è riservato esclusivamente ai teenager. Anzi, la loro mobilitazione è solo l'estrema ratio contro l'immobilismo degli adulti. Gli adulti sono più che benvenuti, anzi “necessari”, come tutti. E molti infatti si stanno accodando all'iniziativa di Greta, come molti genitori che si stanno organizzando in associazioni per sostenere questa necessaria urgenza di cambiare il rapporto con il pianeta manifestata dai figli che li ha contagiati."	0
"Global strike, a Milano in piazza i ragazzi di Fridays for future: ""Il tempo sta per scadere"""	La Repubblica	"Scioperiamo da una giornata di scuola o di lavoro per inchiodare le persone al potere di fronte alle loro responsabilità e al loro tradimento. In largo Cairoli sono tornati i Fridays for Future per il sesto sciopero globale per il clima: tanti i partecipanti in un'azione che rispetta le regole del distanziamento. Obiettivo del movimento è sensibilizzare alla campagna ""Ritorno al futuro"": un insieme di proposte raccolte con esperti e associazioni per il governo italiano - LEGGI L'ARTICOLO - IL VIDEO"	3
"Earth Day 2020. Greta Thunberg: ""Affrontare due crisi, il coronavirus e il riscaldamento globale"""	Rai News	" 22 aprile 2020In occasione della 50esima Giornata della Terra, il 22 aprile, la giovane attivista svedese Greta Thunberg e il direttore dell'Istituto di ricerca sull'impatto climatico di Potsdam in Germania Johan Rockström ""si sono incontrati in videoconferenza"" per una conversazione digitale sui temi del coraggio, della solidarietà e delle opportunità in tempi di crisi. L'incontro è stato trasmesso su Faebook, Youtube e sukl sito nobelprize.org dal Museo del Premio Nobel a Stoccolma. Greta, che dall'agosto 2018 con la sua protesta per il clima e lo sciopero dalla scuola ogni venerdì è diventata il simbolo globale della lotta al riscaldamento globale, incoraggia le persone ad ascoltare la scienza e ispira i giovani di tutto il mondo a farsi valere per il clima. ""Dobbiamo affrontare due crisi in una volta, quella del coronavirus e quella climatica. Come nell'attuale pandemia ascoltiamo la scienza e gli esperti, così dobbiamo fare per l'altra lotta, quella contro il riscaldamento globale"". Rispetto al coronavirus c'è stata una ""risposta molto forte, ha cambiato la nostra vita di ogni giorno, ciascuno è stato colpito in ogni parte del mondo"", ha osservato Greta. ""Ma sulle vite umane non possiamo mettere un prezzo"", ha detto riferendosi a ""migliaia di persone"" che hanno perso la vita. ""La pandemia ha mostrato che questa società non è sostenibile"" e che non si può fare una sorta di scambio fra ""scelte economiche e il valore della vita delle persone"". Papa Francesco: ""Non c'è futuro se distruggiamo l'ambiente"" Il Papa è tornato a esprimere apprezzamento per i ragazzi che si battono per il clima, nel corso dell'udienza generale che ha dedicato alla giornata mondiale della terra. ""A causa dell'egoismo siamo venuti meno alla nostra responsabilità di custodi e amministratori della terra"", ha detto. ""Basta guardare la realtà con sincerità per vedere che c'è un grande deterioramento della nostra casa comune. L'abbiamo inquinata e depredata, mettendo in pericolo la nostra stessa vita. Per questo, si sono formati vari movimenti internazionali e locali per risvegliare le coscienze. Apprezzo sinceramente queste iniziative, e sarà ancora necessario che i nostri figli scendano in strada per insegnarci ciò che è ovvio, vale a dire che non c'è futuro per noi se distruggiamo l'ambiente che ci sostiene"". Il Papa ha incoraggiato a organizzare interventi concertati a livello nazionale e locale: ""E' bene convergere insieme da ogni condizione sociale e dare vita anche a un movimento popolare ""dal basso"". La stessa Giornata Mondiale della Terra, che celebriamo oggi, è nata proprio così. Ciascuno di noi può dare il proprio piccolo contributo: ""Non bisogna pensare che questi sforzi non cambieranno il mondo. Tali azioni diffondono un bene nella società che sempre produce frutti al di là di quanto si possa constatare, perché provocano in seno a questa terra un bene che tende sempre a diffondersi, a volte invisibilmente""."	0
Riecco Greta Thunberg: per il Covid siamo in pausa sull'ambiente ma è un errore	La Repubblica	Il tuo contributo è fondamentale per avere un’informazione di qualità. Sostieni il giornalismo di Repubblica.	0
Due anni di Greta Thunberg e di cambiamento climatico	Il Bo Live - Università di Padova	Come osate! Mentre i contagiati dal coronavirus aumentano senza pietà e questa tendenza incombe non poco sulla riapertura delle scuole - sul quando e sul come - dobbiamo ricordare una data importante: il 20 agosto sono stati due anni esatti dallo sciopero delle scuole contro il cambiamento del clima. Protagonista la quindicenne svedese Greta Thunberg, Sono dunque trascorsi due anni da quando la giovane Greta ha dato inizio ad una rivoluzione non certo silenziosa, ma pacifica e non violenta, sedendosi davanti al Parlamento di Stoccolma con il cartello Skolstrejk för klimatet, sciopero scolastico per il clima. Da quel 20 agosto 2018 la “rivoluzione” di cui è stata protagonista è stata di parole (e che parole) rivolte ai governanti, come si potrebbe dire, di ogni ordine e grado per chiedergli di cominciare a saldare il debito contratto da decenni con le generazioni future. Generazioni che ci hanno dato in prestito la Terra sulla quale viviamo in circa otto miliardi e che anno dopo anno stiamo riducendo in condizioni sempre peggiori di come l’abbiamo avuta. L’avanzante mutamento climatico ne è l’esempio più evidente e drammatico. Il movimento nato e guidato da Greta Thunberg ha anche il merito di invitare i responsabili della cosa pubblica Terra a intervenire prima che sia troppo tardi. Ha cominciato il 16 dicembre 2018 sul palco della COP24, la conferenza delle Nazioni Unite sul cambiamento climatico, a Katowice, in Polonia. E lo ha fatto dando seguito ad altre personali manifestazioni quando a settembre dello stesso 2018 per tre settimane era rimasta per due giorni a settimana di fronte al parlamento di Stoccolma dichiarando: ‘‘Lo faccio perché gli adulti stanno sgretolando il nostro futuro’’. Un mese dopo aveva parlato ad Helsinki davanti a 10mila persone, durante una protesta sui cambiamenti climatici, affermando che ‘‘Invece di preoccuparci del nostro futuro dovremmo pensare a cambiarlo, finché siamo in tempo’’. Ma è soprattutto a Katowice che ha cominciato, con un intervento fatto giusto tre anni dopo la firma dell’accordo di Parigi col quale le delegazioni di 196 Paesi avevano firmato un’intesa mirante a stabilire che andavano compiuti tutti gli sforzi per ottenere il contenimento dell’aumento delle temperature planetarie in non più di due gradi centigradi. Meglio ancora se in 1,5. Ma allora, cominciavano a chiedersi negazionisti di vario tipo e colore, che va cercando questa bambina ribelle? Irritati dal fatto che aveva semplicemente spiegato di aver capito che tre anni erano passati inutilmente. Cioè senza realizzare alcuno, o quasi, degli impegni sottoscritti. Dando in tal modo ragione alle preoccupazioni e proteste di chi già criticava il modo in cui quell’accordo era stato sottoscritto. Nel frattempo, al susseguirsi degli eventi estremi, si è aggiunta, come altra calamità, l’elezione di Donald Trump alla presidenza degli Stati Uniti. Stato che, essendo il maggior inquinatore della Terra e avendo con Europa, Cina e India, le maggiori responsabilità nel riscaldamento globale, ha ritenuto economicamente più conveniente ritirare la firma posta da Obama a quell’accordo. Dall’intervento a Katowice ad oggi la presenza di Greta e del proselitismo materializzatosi nel 2019 nel movimento Fridays for Future è stata sempre più fastidiosa per molti raggiungendo il “massimo” nel discorso alle Nazioni Unite il cui esordio è già tutto un programma: “È tutto sbagliato. Io non dovrei essere qui di fronte a voi. Dovrei essere a scuola dall’altra parte dell’oceano. Eppure, venite tutti da me per avere speranza? Ma come osate! Voi avete rubato i miei sogni e la mia infanzia con le vostre vuote parole. Eppure, io sono una persona fortunata. Le persone soffrono. Le persone stanno morendo. Interi ecosistemi stanno crollando. Siamo all’inizio di un’estinzione di massa. E tutto ciò di cui riuscite a parlare sono i soldi e le favole della crescita economica infinita. Come osate!”. Da agosto 2018 sono solo due anni ma ce ne sarebbe da raccontare. Tuttavia, secondo me, è bello. utile e significativo ricordare soprattutto l’esordio a Katowice: “Il mio nome è Greta Thunberg, ho quindici anni e vengo dalla Svezia. Molte persone dicono che la Svezia sia solo un piccolo Paese e a loro non importa cosa facciamo. Ma io ho imparato che non sei mai troppo piccolo per fare la differenza. Se alcuni ragazzi decidono di manifestare dopo la scuola, immaginate cosa potremmo fare tutti insieme, se solo lo volessimo veramente. Ma per fare ciò dobbiamo parlare chiaramente, non importa quanto questo possa risultare scomodo. Voi parlate solo di una crescita senza fine in riferimento alla green economy, perché avete paura di diventare impopolari. Parlate solo di andare avanti con le stesse idee sbagliate che ci hanno messo in questo casino. Ma non mi importa risultare impopolare, mi importa della giustizia climatica e di un pianeta vivibile. La civiltà viene sacrificata per dare la possibilità a una piccola cerchia di persone di continuare a fare profitti. La nostra biosfera viene sacrificata per far sì che le persone ricche in Paesi come il mio possano vivere nel lusso. Molti soffrono per garantire a pochi di vivere nel lusso. Finché non vi fermerete a focalizzare cosa deve essere fatto anziché su cosa sia politicamente meglio fare, non c’è alcuna speranza. Non possiamo risolvere una crisi senza trattarla come tale. Noi dobbiamo lasciare i combustibili fossili sottoterra e dobbiamo focalizzarci sull’uguaglianza e se le soluzioni sono impossibili da trovare in questo sistema significa che dobbiamo cambiarlo. Non siamo venuti qui per pregare i leader a occuparsene. Tanto ci avete ignorato in passato e continuerete a ignorarci. Voi non avete più scuse e noi abbiamo poco tempo. Noi siamo qui per farvi sapere che il cambiamento sta arrivando, che vi piaccia o no. Il vero potere appartiene al popolo. Grazie”. Questo è il messaggio mandato da Greta dicendoci che quello che fa “Lo sto facendo perché voi adulti consideriate il mio futuro” e aggiungendo “Voglio che i politici diano priorità alla questione climatica, concentrandosi sul clima e trattandolo come una crisi. Ho i miei libri qui ma penso: Cosa mi manca? Cosa ho intenzione di imparare a scuola? I fatti non contano più, i politici non ascoltano gli scienziati, quindi perché dovrei imparare?”. Magari Greta non aveva da imparare, ma aveva molto da insegnare: “La gente pensa che si possa risolvere la crisi senza sforzo, senza sacrificio. Io credo che una persona possa fare la differenza”. “Nel 2078 - ha ancora aggiunto Greta - festeggerò il mio 75° compleanno. Se avrò dei bambini probabilmente un giorno mi faranno domande su di voi, forse mi chiederanno come mai non avete fatto niente quando era ancora tempo di agire, voi dite di amare i vostri gli sopra ogni cosa, ma state rubando loro il futuro davanti agli occhi”. È adorabile questa grande ragazzina. Se l’avesse vista Vermeer le avrebbe messo un orecchino e l’avrebbe fatta protagonista di un quadro famoso. 	0
I Simpson, la Nasa e Greta: 10 bufale di successo sul riscaldamento globale	Pagella Politica	 Podcast – Tracciamento, trasporti, scuole: gli errori del governo s... 	0
"I ragazzi del clima tornano in piazza: ""Fate presto, il riscaldamento globale divide il mondo"""	la Repubblica	"Venerdì 25 settembre la prima grande manifestazione dal vivo da inizio pandemia. Nuovi simboli e lotta dedicata ai ""Mapa"", i paesi più poveri e colpiti dalla crisi climatica. In attesa del grande sciopero, il 9 ottobre +SUPER NEWS: SI TORNA IN PIAZZA+??Annunciamo la Giornata Mondiale di Azione per la Giustizia Climatica, il 25 Settembre 2020, e lo Sciopero per il Clima, il 9 ottobre 2020Vi abbiamo incuriosito, eh???Per tutte le info: https://t.co/nQYoAULKdSVogliamo GIUSTIZIA CLIMATICA! pic.twitter.com/3nKqUlLt9y On Friday Sept 25 we strike for the climate again, in 2500+ places around the world and counting!The actions will vary depending on the COVID-19 situation & restrictions in your region.Find or register your local strike: https://t.co/96uKZKS24y#fridaysforfuture #climatestrike pic.twitter.com/vBy5Ez00FS Il tuo contributo è fondamentale per avere un’informazione di qualità. Sostieni il giornalismo di Repubblica."	2
"Greta Thunberg a Berlino. L'incontro con Angela Merkel: ""Clima sfida globale"""	la Repubblica	L'attivista svedese accolta dai dimostranti. L'intervento con Luisa Neubauer del movimento Fridays for future per sollecitare l'azione dei governi contro il riscaldamento globale Il tuo contributo è fondamentale per avere un’informazione di qualità. Sostieni il giornalismo di Repubblica.	0
Greta e le altre scrivono una lettera ai politici sul clima. 50 mila firme in 24 ore	La Repubblica	"Da Leonardo di Caprio a Joaquin Phoenix, da Malala a Billie Eilish sino a Roger Waters e Ludovico Einaudi appoggiano la nuova iniziativa dell'attivista svedese. Che ai grandi della Terra scrivono: ""Trattatela la crisi climatica come un'emergenza"" It’s time to #FaceTheClimateEmergencyThis is our open letter and demands to global leaders, signed by thousands of activists, scientists, representatives of civil society influencers. We’ll keep collecting signatures and urge everyone to sign & share->https://t.co/jq0Pwp5KZc pic.twitter.com/fNVhoTXUOj Il tuo contributo è fondamentale per avere un’informazione di qualità. Sostieni il giornalismo di Repubblica."	2
